cand_id,elected_via,area_district,incumbent,list_state,list_no,gender,birthyear,mean_share_mp,mean_distance,n
1311,List,1022.5483381675984,1,Nordrhein-Westfalen,2,male,1961,0.46153846153846156,78.3076923076923,26
1361,List,12644.47955631738,0,Rheinland-Pfalz,3,male,1988,0.1,175.16666666666666,30
1468,List,26414.774764837144,0,Bayern,2,male,1969,0.12121212121212122,131.57575757575756,33
1658,List,7219.883647172896,0,Baden-Württemberg,9,male,1986,0.14285714285714285,181.52380952380952,21
1659,List,11820.353998450508,0,Rheinland-Pfalz,3,male,1983,0.3111111111111111,97.35555555555555,45
1673,List,4417.326282591618,0,Thüringen,1,male,1966,0.21480270838197524,71.421667055802,4283
1683,List,1734.4718276979581,0,Baden-Württemberg,6,male,1990,0.345679012345679,132.75617283950618,324
1696,List,3043.810297100037,1,Baden-Württemberg,9,female,1979,0.30357142857142855,133.89285714285714,56
1714,Direct,13388.754706588814,1,Hessen,1,male,1972,0.4857142857142857,92.14285714285714,35
1721,List,5110.786414095975,0,Baden-Württemberg,6,male,1961,0.1504950495049505,169.22772277227722,505
1757,Direct,839.5358992163534,0,Bayern,22,male,1971,1,0,22
1763,Direct,23353.750813830462,1,Sachsen-Anhalt,1,female,1962,0.7678571428571429,15.660714285714286,112
1811,List,16389.36080114475,0,Baden-Württemberg,1,female,1960,0.32653061224489793,87.61224489795919,98
1826,Direct,8630.77389168342,1,Nordrhein-Westfalen,7,male,1968,0.08695652173913043,212.17391304347825,23
1890,List,12896.901678586655,1,Baden-Württemberg,5,female,1985,0.6212121212121212,46.14393939393939,132
1904,List,16801.643240475856,1,Bayern,15,male,1953,0.5555555555555556,56.08888888888889,45
1978,List,2415.713297861345,1,Hessen,3,female,1971,0.1792452830188679,128.73584905660377,212
2025,List,17114.579078618026,0,Sachsen-Anhalt,3,female,1963,0.56,73.28,25
2069,List,1436.6851103821198,1,Bayern,3,male,1964,0.6379310344827587,61.56896551724138,58
2100,List,1049.9238604368215,0,Nordrhein-Westfalen,4,male,1977,0.13286713286713286,211.62237762237763,143
2136,List,877.7007556150339,0,Bayern,4,male,1972,0.14935064935064934,321.7792207792208,154
2146,Direct,31050.91313039488,1,Bayern,3,female,1978,0.1864406779661017,138.11864406779662,59
2260,Direct,1258.9427402309,1,Nordrhein-Westfalen,56,male,1971,0.7303921568627451,54.450980392156865,204
2326,List,7219.883647172896,1,Baden-Württemberg,12,male,1974,0.25,109.22222222222223,36
2369,List,939.3122617376887,0,Baden-Württemberg,11,female,1983,0.6696428571428571,78.15178571428571,112
2375,Direct,21035.217446991912,0,Sachsen,5,male,1975,0.37362637362637363,186.15384615384616,91
2515,List,1017.0679586826636,1,Nordrhein-Westfalen,3,female,1975,0.06976744186046512,131.8139534883721,43
2617,List,11315.914798841355,1,Niedersachsen,2,male,1950,0,111.6875,80
2634,List,16801.643240475856,1,Bayern,3,female,1971,0.2248062015503876,139.5891472868217,129
2718,List,4136.7680621668615,1,Sachsen-Anhalt,3,male,1961,0,206.30434782608697,23
2841,List,3453.2484250238763,0,Nordrhein-Westfalen,6,male,1976,0.08333333333333333,191.91666666666666,12
2878,List,31369.17263166986,0,Brandenburg,3,female,1968,0.2812006319115324,90.61769352290679,633
2987,List,1263.129559290765,0,Sachsen,3,male,1969,0.6666666666666666,32.416666666666664,24
2997,List,1228.7471280310451,1,Nordrhein-Westfalen,7,female,1984,0.6853932584269663,42.80898876404494,89
3088,List,1412.0871071910074,1,Nordrhein-Westfalen,3,female,1976,0.9300225733634312,13.599322799097065,886
3108,List,19533.70229275377,0,Niedersachsen,1,male,1977,0.13043478260869565,240.17391304347825,23
3154,List,22540.13956171826,1,Baden-Württemberg,8,male,1964,0.3333333333333333,100.94444444444444,18
3261,List,30001.69264122936,0,Niedersachsen,3,male,1959,0.12,126.8,25
3392,List,13246.67338046594,0,Nordrhein-Westfalen,15,male,1978,0.40789473684210525,73.8157894736842,76
3550,List,16632.317440899198,1,Baden-Württemberg,15,female,1961,0.20146520146520147,202.2967032967033,273
3597,List,47219.4161961222,0,Sachsen-Anhalt,2,male,1984,0.4846153846153846,91.15384615384616,130
3701,Direct,448.0189950931065,1,Berlin,NA,male,1968,0.461038961038961,182.72727272727272,154
3715,List,19094.237721332618,0,Bayern,7,male,1969,0.42,183.66,50
3733,List,23208.917540589875,0,Bayern,3,female,1973,0.2,139.3,70
3811,Direct,7156.0041150444995,1,Baden-Württemberg,NA,male,1966,0.49019607843137253,65.6470588235294,102
3980,Direct,22540.949918232345,1,Hessen,11,male,1960,0.2777777777777778,50.22222222222222,18
4019,List,18153.334745599976,1,Brandenburg,2,male,1951,0.8064516129032258,10.258064516129032,31
4088,List,3019.8905753332133,0,Nordrhein-Westfalen,7,male,1965,0.3259668508287293,106.47513812154696,181
4169,List,5609.09241171024,0,Baden-Württemberg,4,male,1991,0.3125,161.375,32
4290,List,877.7007556150339,0,Bayern,1,male,1976,0.5577889447236181,134.28140703517587,199
4313,List,11301.66991355779,0,Nordrhein-Westfalen,9,female,1958,0.16216216216216217,116.21621621621621,37
4318,Direct,12354.228269575371,1,Niedersachsen,25,male,1959,0.07407407407407407,149.92592592592592,27
4388,List,4620.076005082663,1,Baden-Württemberg,10,male,1970,0.0673854447439353,72.21832884097034,371
4437,Direct,11820.353998450508,1,Rheinland-Pfalz,4,male,1971,0.6810344827586207,35.543103448275865,116
4451,List,1175.5382524754516,1,Nordrhein-Westfalen,10,male,1977,0.018018018018018018,182.23423423423424,111
4494,List,964.9505775101383,0,Berlin,2,male,1976,0.5631067961165048,150.75728155339806,103
4727,List,527.1963510336126,1,Bayern,2,female,1975,0.6860670194003528,56.80952380952381,567
4791,List,5614.530722508398,0,Nordrhein-Westfalen,4,male,1965,0.12903225806451613,233.19354838709677,31
4823,List,1412.0871071910074,0,Nordrhein-Westfalen,3,male,1966,0.5211864406779662,93.83474576271186,236
4885,Direct,3556.2718168864208,0,Hessen,21,male,1976,0.6907730673316709,42.8428927680798,401
4909,List,2225.236105272511,1,Nordrhein-Westfalen,4,female,1966,0.6707317073170732,52.94512195121951,164
4960,Direct,12437.496791560232,1,Niedersachsen,2,male,1960,0.2,174.08,125
5064,Direct,3453.2484250238763,1,Nordrhein-Westfalen,1,male,1961,0.7142857142857143,32,28
5065,Direct,568.2591901585213,1,Berlin,NA,male,1966,0.875,35.4375,16
5072,List,25746.319793616734,1,Bayern,11,male,1975,0.06666666666666667,131,30
5152,Direct,5052.766032122615,1,Baden-Württemberg,NA,male,1970,0.8469055374592834,25.263843648208468,307
5159,Direct,1668.0911000357603,1,Berlin,NA,male,1948,0.4166666666666667,239.91666666666666,12
5215,List,4417.326282591618,1,Thüringen,1,female,1966,0.19827586206896552,167.5344827586207,116
5370,List,16424.390587043446,0,Bayern,10,male,1967,0.5714285714285714,85.4,35
5411,Direct,6620.183102947461,1,Bayern,37,male,1974,0.11428571428571428,264.9428571428571,35
5438,Direct,3143.250600982451,1,Hamburg,8,male,1969,0.8205128205128205,54.743589743589745,39
5566,Direct,2002.6272294313055,1,Nordrhein-Westfalen,22,male,1963,0.5031055900621118,44.7888198757764,161
5611,List,6581.68657885051,1,Nordrhein-Westfalen,15,male,1977,0.34782608695652173,45.96521739130435,115
5693,Direct,1175.5382524754516,1,Nordrhein-Westfalen,13,male,1977,0.31561461794019935,151.5282392026578,301
5697,List,1022.5483381675984,0,Nordrhein-Westfalen,2,male,1973,0.5365853658536586,55.609756097560975,41
5715,Direct,26748.36958312895,1,Thüringen,NA,male,1984,0.6129032258064516,80.80645161290323,31
5753,List,2933.1439877796274,1,Nordrhein-Westfalen,1,female,1961,0.5384615384615384,75.54358974358975,390
5839,Direct,18134.04862718618,1,Niedersachsen,5,male,1972,0.13725490196078433,165.15686274509804,102
5840,Direct,13322.742688272276,1,Rheinland-Pfalz,5,female,1961,0.16666666666666666,113.08333333333333,12
5847,Direct,1021.8894005809923,0,Berlin,4,male,1964,0.9722222222222222,11.055555555555555,36
5897,Direct,2203.6887304741867,1,Sachsen,9,male,1964,0.9166666666666666,10.145833333333334,48
5974,List,3229.0648816967087,0,Nordrhein-Westfalen,17,female,1986,0.6,59.977777777777774,45
