cand_id,elected_via,area_district,incumbent,list_state,list_no,gender,birthyear,mean_share_mp,mean_distance,n
1294,List,3043.810297100037,1,Baden-Württemberg,4,male,1950,0.7468354430379747,30.531645569620252,79
1311,List,1022.5483381675984,1,Nordrhein-Westfalen,2,male,1961,0.5578947368421052,68.15789473684211,95
1361,List,12644.47955631738,0,Rheinland-Pfalz,3,male,1988,0.09205020920502092,181.20502092050208,239
1468,List,26414.774764837144,0,Bayern,2,male,1969,0.021739130434782608,142.55434782608697,92
1652,Direct,21234.3942148132,1,Hessen,11,male,1973,0.6539235412474849,44.47082494969819,497
1658,List,7219.883647172896,0,Baden-Württemberg,9,male,1986,0.297029702970297,77.72277227722772,101
1659,List,11820.353998450508,0,Rheinland-Pfalz,3,male,1983,0.5098039215686274,50.049019607843135,204
1670,Direct,18408.73511331662,1,Bayern,NA,male,1977,0.7710843373493976,26.204819277108435,83
1673,List,4417.326282591618,0,Thüringen,1,male,1966,0.17399200871776244,65.87722484562296,2753
1683,List,1734.4718276979581,0,Baden-Württemberg,6,male,1990,0.5368098159509203,67.28527607361963,326
1696,List,3043.810297100037,1,Baden-Württemberg,9,female,1979,0.7176470588235294,32.51294117647059,425
1714,Direct,13388.754706588814,1,Hessen,1,male,1972,0.5272727272727272,48.527272727272724,55
1721,List,5110.786414095975,0,Baden-Württemberg,6,male,1961,0.2922636103151863,141.84527220630372,349
1756,Direct,22255.896730632772,0,Niedersachsen,25,female,1973,0.7372262773722628,31.08272506082725,411
1757,Direct,839.5358992163534,0,Bayern,22,male,1971,0.82421875,22.01953125,256
1763,Direct,23353.750813830462,1,Sachsen-Anhalt,1,female,1962,0.8016528925619835,15.793388429752065,242
1811,List,16389.36080114475,0,Baden-Württemberg,1,female,1960,0.5735294117647058,37.82773109243698,476
1826,Direct,8630.77389168342,1,Nordrhein-Westfalen,7,male,1968,0.5714285714285714,53.47142857142857,210
1863,Direct,9149.404249995752,0,Nordrhein-Westfalen,36,male,1967,0.4199134199134199,164.33333333333334,231
1890,List,12896.901678586655,1,Baden-Württemberg,5,female,1985,0.5537459283387622,50.17589576547231,307
1904,List,16801.643240475856,1,Bayern,15,male,1953,0.5414634146341464,64.00487804878048,205
1978,List,2415.713297861345,1,Hessen,3,female,1971,0.17320261437908496,145.5359477124183,306
1981,List,13436.664385796328,0,Schleswig-Holstein,2,male,1961,0.10526315789473684,64,57
2002,List,23095.194584292993,0,Sachsen-Anhalt,2,female,1965,0.6603325415676959,29.80997624703088,421
2025,List,17114.579078618026,0,Sachsen-Anhalt,3,female,1963,0.6923076923076923,34.73076923076923,52
2069,List,1436.6851103821198,1,Bayern,3,male,1964,0.4934210526315789,74.79605263157895,152
2100,List,1049.9238604368215,0,Nordrhein-Westfalen,4,male,1977,0.3525641025641026,166.55769230769232,156
2109,List,9924.629359054908,0,Nordrhein-Westfalen,10,male,1951,0.3953488372093023,73.6046511627907,43
2136,List,877.7007556150339,0,Bayern,4,male,1972,0.21768707482993196,196.46938775510205,147
2146,Direct,31050.91313039488,1,Bayern,3,female,1978,0.50920245398773,77.20858895705521,163
2260,Direct,1258.9427402309,1,Nordrhein-Westfalen,56,male,1971,0.6595744680851063,63.787234042553195,94
2286,List,47219.4161961222,0,Sachsen-Anhalt,3,male,1990,0.14864864864864866,107.63513513513513,148
2326,List,7219.883647172896,1,Baden-Württemberg,12,male,1974,0.5769230769230769,40.29807692307692,208
2346,List,4517.178478159915,0,Hessen,4,male,1958,0.24324324324324326,47.16216216216216,111
2369,List,939.3122617376887,0,Baden-Württemberg,11,female,1983,0.8095238095238095,35.92142857142857,420
2375,Direct,21035.217446991912,0,Sachsen,5,male,1975,0.3736654804270463,178.83985765124555,281
2441,Direct,25875.796169180077,1,Niedersachsen,7,female,1964,0.6330049261083743,46.714285714285715,406
2479,List,19523.702137969784,0,Nordrhein-Westfalen,14,male,1962,0.8317757009345794,16.177570093457945,214
2515,List,1017.0679586826636,1,Nordrhein-Westfalen,3,female,1975,0.1282051282051282,200.75,156
2535,List,13136.702765673539,1,Nordrhein-Westfalen,7,male,1956,0.8270967741935484,17.787096774193547,775
2543,Direct,27716.002163729372,0,Schleswig-Holstein,5,female,1958,0.8527724665391969,29.424474187380497,523
2568,List,6404.678297747446,0,Bayern,9,female,1964,0.34579439252336447,101.18691588785046,107
2617,List,11315.914798841355,1,Niedersachsen,2,male,1950,0,153.11764705882354,153
2634,List,16801.643240475856,1,Bayern,3,female,1971,0.3509933774834437,71.32119205298014,302
2718,List,4136.7680621668615,1,Sachsen-Anhalt,3,male,1961,0.2392638036809816,76.03067484662577,163
2799,Direct,21599.416616981893,0,Hessen,16,female,1965,0.7908847184986595,22.19302949061662,373
2834,List,31050.91313039488,1,Bayern,10,female,1964,0.7843137254901961,19.96078431372549,459
2841,List,3453.2484250238763,0,Nordrhein-Westfalen,6,male,1976,0.5275590551181102,46.28346456692913,127
2853,Direct,19734.303027700986,1,Bayern,2,male,1970,0.125,166.5,16
2878,List,31369.17263166986,0,Brandenburg,3,female,1968,0.5541666666666667,58.57083333333333,240
2885,Direct,10890.438421534049,1,Baden-Württemberg,NA,male,1967,0.6921322690992018,35.88369441277081,1754
2987,List,1263.129559290765,0,Sachsen,3,male,1969,0.5063291139240507,79.34177215189874,79
2997,List,1228.7471280310451,1,Nordrhein-Westfalen,7,female,1984,0.751937984496124,25.302325581395348,129
3034,Direct,15617.551684565107,1,Bayern,39,male,1971,0.7790055248618785,21.176795580110497,181
3099,List,1245.326445994523,1,Nordrhein-Westfalen,8,female,1953,1,0,15
3108,List,19533.70229275377,0,Niedersachsen,1,male,1977,0.4358974358974359,91.57692307692308,78
3119,List,1021.8894005809923,0,Berlin,3,male,1956,0.2413793103448276,174.08620689655172,58
3154,List,22540.13956171826,1,Baden-Württemberg,8,male,1964,0.6283185840707964,32.88053097345133,226
3261,List,30001.69264122936,0,Niedersachsen,3,male,1959,0.19298245614035087,152.21052631578948,57
3392,List,13246.67338046594,0,Nordrhein-Westfalen,15,male,1978,0.4827586206896552,57.275862068965516,58
3520,Direct,19352.54442030286,0,Bayern,NA,male,1974,0.7946210268948656,50.32273838630807,818
3522,List,15555.96245308282,1,Bayern,1,male,1954,0.46875,109.5,32
3543,Direct,2933.1439877796274,0,Nordrhein-Westfalen,36,female,1984,0.8393574297188755,29.11244979919679,249
3550,List,16632.317440899198,1,Baden-Württemberg,15,female,1961,0.8378378378378378,16.864864864864863,222
3553,List,10876.609071343973,0,Nordrhein-Westfalen,10,male,1989,0,146.62420382165604,157
3597,List,47219.4161961222,0,Sachsen-Anhalt,2,male,1984,0.5505154639175258,50.89484536082474,485
3610,Direct,901.7786000464404,0,Niedersachsen,24,female,1967,0.7956204379562044,38.67883211678832,137
3663,List,12006.559319468139,1,Baden-Württemberg,10,male,1972,0.5742574257425742,68.16336633663366,202
3679,Direct,21966.05620430985,1,Brandenburg,5,male,1965,0.6330532212885154,57.0672268907563,357
3701,Direct,448.0189950931065,1,Berlin,NA,male,1968,0.8128654970760234,48.558479532163744,342
3715,List,19094.237721332618,0,Bayern,7,male,1969,0.38235294117647056,171.9075630252101,476
3733,List,23208.917540589875,0,Bayern,3,female,1973,0.29545454545454547,78.22727272727273,396
3870,List,9533.127238992865,1,Niedersachsen,4,female,1963,0.43902439024390244,41.8130081300813,123
3980,Direct,22540.949918232345,1,Hessen,11,male,1960,0.5081967213114754,51.967213114754095,61
4019,List,18153.334745599976,1,Brandenburg,2,male,1951,0.7536231884057971,30.278985507246375,276
4022,Direct,12637.640876718564,1,Baden-Württemberg,NA,male,1973,0.6532033426183844,57.022284122562674,718
4088,List,3019.8905753332133,0,Nordrhein-Westfalen,7,male,1965,0.4838709677419355,106.73118279569893,93
4101,List,11315.914798841355,0,Niedersachsen,5,male,1966,0.14046822742474915,82.0133779264214,299
4106,Direct,15364.949010275073,1,Bayern,8,male,1957,0.6363636363636364,69.9090909090909,11
4134,Direct,1436.6851103821198,1,Bayern,21,male,1964,0.8020833333333334,29.65625,192
4169,List,5609.09241171024,0,Baden-Württemberg,4,male,1991,0.3322884012539185,103.60815047021944,319
4263,Direct,6405.513253731303,1,Baden-Württemberg,NA,male,1963,0.7926829268292683,22.26829268292683,82
4290,List,877.7007556150339,0,Bayern,1,male,1976,0.5170068027210885,98.93877551020408,147
4318,Direct,12354.228269575371,1,Niedersachsen,25,male,1959,0.11764705882352941,103.82352941176471,17
